iter	TotalF1	MultiClass
395	0.6995759689	0.7037513582
396	0.6998123398	0.7035651685
397	0.6999578179	0.7033007827
398	0.7001728138	0.7031043662
399	0.7001728138	0.7029298194
400	0.7001728138	0.7026984386
401	0.7002233388	0.7025735505
402	0.7000362407	0.7023442946
403	0.7003093684	0.7021258102
404	0.7003093684	0.7019794478
405	0.7003093684	0.7018071126
406	0.7006103794	0.7015534695
407	0.700746955	0.701430661
408	0.700746955	0.701263547
409	0.7005597924	0.7010554233
410	0.7005597924	0.7008730094
411	0.7008253295	0.7006909371
412	0.7011845693	0.7005053296
413	0.7009231814	0.7002467399
414	0.7007782377	0.7000718906
415	0.7009973758	0.6998773683
416	0.7009973758	0.6996677871
417	0.7008691428	0.6994555524
418	0.7010057735	0.6993213367
419	0.7012165042	0.6991279287
420	0.7013531513	0.6989258536
421	0.7013573588	0.6986977607
422	0.7013573588	0.6985209889
423	0.7015680742	0.6983378289
424	0.7015722905	0.6981305465
425	0.7013573588	0.6979039824
426	0.7012069843	0.6976955386
427	0.7012851984	0.697508636
428	0.7010703053	0.6973802839
429	0.7010703053	0.6971643007
430	0.7014219051	0.6969944163
431	0.7009832969	0.6968236415
432	0.7013528878	0.6966319735
433	0.7016261199	0.6964223962
434	0.7017121436	0.6962266982
435	0.7015755251	0.6959973259
436	0.7014937599	0.6957737196
437	0.7014034908	0.6955948079
438	0.7014895131	0.6954256787
439	0.7016625397	0.6952640011
440	0.7018267552	0.6950898411
441	0.7017527796	0.6948963723
442	0.7017485482	0.6946660358
443	0.7020452551	0.6944967467
444	0.7019592406	0.694370885
445	0.7021861791	0.69412367
446	0.7016978512	0.6939828447
447	0.702281837	0.6938171981
448	0.7024185474	0.6937093627
449	0.7024185474	0.6934929714
450	0.702778465	0.6933042979
451	0.7026915756	0.6931788625
452	0.7030981812	0.6929853667
453	0.7029648604	0.6927784494
454	0.7030467261	0.6925187231
455	0.7030467261	0.6923189999
456	0.7037035755	0.69211908
457	0.7036370829	0.6919365533
458	0.7038521591	0.6918200873
459	0.7040165995	0.6916370338
460	0.7037113348	0.6913963665
461	0.704063002	0.6912153701
462	0.7041490868	0.6910010788
463	0.7040933132	0.6907495418
464	0.7046178292	0.6906254144
465	0.7040149314	0.6904284912
466	0.7039332908	0.6902501078
467	0.7042343893	0.6900867651
468	0.7037182334	0.6898835419
469	0.7039332908	0.6897428002
470	0.7037095926	0.6895924478
471	0.7037095926	0.6894375936
472	0.7037956471	0.6892938414
473	0.7042258297	0.6891259209
474	0.7039677259	0.6889468485
475	0.7049225603	0.6887853063
476	0.7047117403	0.6884968544
477	0.7049182439	0.6883089706
478	0.7049267212	0.6881248754
479	0.7049267212	0.6879177751
480	0.704501657	0.6877944969
481	0.7047167073	0.6876598755
482	0.7048027378	0.6875271242
483	0.7048027378	0.6873509081
484	0.7048027378	0.6872278076
485	0.7050177567	0.6870600428
486	0.7050255033	0.6869097495
487	0.7045835116	0.6867672073
488	0.7047125252	0.6866166655
489	0.7047125252	0.6864522972
490	0.7048492542	0.6863208416
491	0.7046659862	0.6860947221
492	0.7049901324	0.6859129908
493	0.7049436535	0.6857760853
494	0.7053307685	0.6856144449
495	0.7054724187	0.6854567113
496	0.7055189279	0.6852959729
497	0.7055189279	0.6851925813
498	0.7056556615	0.6850999488
499	0.7055189279	0.6849964745
500	0.7054286719	0.6848524445
501	0.7059645435	0.6846960839
502	0.7057375775	0.6845325891
503	0.7058743121	0.6843269899
504	0.7061795726	0.6841901126
505	0.7058784652	0.6840506938
506	0.7061754171	0.6838903609
507	0.7061795726	0.6837919413
508	0.7061754171	0.6836381194
509	0.7062790888	0.6834066468
510	0.7063297441	0.6832544051
511	0.7063255842	0.6831352654
512	0.7063255842	0.6829562624
513	0.7063255842	0.6828302427
514	0.7064199953	0.6827021843
515	0.7064158279	0.6825322159
516	0.7065060625	0.6823693192
517	0.7066434846	0.68221591
518	0.706510916	0.6820071066
519	0.706510916	0.681848811
520	0.7069148673	0.6817542404
521	0.7069148673	0.6815376894
522	0.7069148673	0.6813901255
523	0.7070144883	0.6812328946
524	0.7068812179	0.6810569902
525	0.7073054662	0.68094083
526	0.7074049864	0.6808246195
527	0.7074049864	0.6806591372
528	0.7077003113	0.6805355632
529	0.707635484	0.6803423012
530	0.707498728	0.6801227901
531	0.7073484462	0.6799818242
532	0.7074344246	0.6798062484
533	0.7076715374	0.6796834563
534	0.7076715374	0.6795643807
535	0.7078906683	0.6793271297
536	0.7080274903	0.6792178136
537	0.7081642943	0.6790369614
538	0.7082503013	0.678866534
539	0.7083362984	0.6786919391
540	0.708396441	0.6785693384
541	0.7084866076	0.6784348005
542	0.7085332074	0.6782511923
543	0.7085197347	0.6781233208
544	0.7085332074	0.6780175865
545	0.7085332074	0.6778662501
546	0.7085332074	0.6777280244
547	0.7089582569	0.6775850753
548	0.7090484488	0.6774206615
549	0.7091852659	0.6772667686
550	0.7089617462	0.6770953348
551	0.7094862718	0.6768798208
552	0.7092762395	0.6767469038
553	0.7091902039	0.6766233279
554	0.7095504684	0.6764481238
555	0.7098599994	0.6762841111
556	0.7100748402	0.676190597
557	0.7098599994	0.6760883333
558	0.7100748402	0.6759260817
559	0.7102469952	0.6757860896
560	0.7098950344	0.6756296992
561	0.7098950344	0.6755324898
562	0.7103197766	0.6754097892
563	0.7103332264	0.6752642976
564	0.7104701222	0.6751350588
565	0.7101184153	0.6750140575
566	0.7101184153	0.6748872871
567	0.7103332264	0.6747393432
568	0.7103332264	0.674635212
569	0.7106380814	0.6744604082
570	0.7105520262	0.6743742033
571	0.710646391	0.6742050547
572	0.7105977482	0.6740308334
573	0.7108382638	0.6738925764
574	0.7106451487	0.6737936801
575	0.7112840787	0.6735733817
576	0.7109908289	0.6734184586
577	0.7111925403	0.6732264392
578	0.7109774655	0.6731189323
579	0.7111275847	0.6729840337
580	0.7113977242	0.6727886555
581	0.7113511725	0.6726606346
582	0.7111969198	0.6725476644
583	0.7114252603	0.6723725379
584	0.7114293733	0.6722970034
585	0.7118725899	0.6721839068
586	0.7118725899	0.6720831807
587	0.7121328858	0.6719936003
588	0.7120094213	0.6717722018
589	0.7120996726	0.6716348653
590	0.7120955289	0.6715132753
591	0.711931305	0.6713923941
592	0.7118806164	0.6712455914
593	0.7122282327	0.6711142499
594	0.7120355247	0.6710022578
595	0.7126102859	0.6707734809
596	0.7123364896	0.6706205743
597	0.7124733966	0.6705320676
598	0.7124651556	0.6703629602
599	0.7125292481	0.6702136184
600	0.7130491972	0.6700809509
601	0.7131861086	0.6699360069
602	0.7131944095	0.6698080607
603	0.7131902519	0.6696895591
604	0.7133542758	0.6695634381
605	0.7134445471	0.6694099369
606	0.7136250894	0.6693208036
607	0.7136167401	0.6692442225
608	0.7134487131	0.6691088184
609	0.7134312004	0.6689725726
610	0.7137620664	0.6688348744
611	0.7138615222	0.6686622868
612	0.7139298069	0.6685663943
613	0.7141487821	0.6684482064
614	0.7140887355	0.6682772326
615	0.7140026584	0.6681369804
616	0.7140026584	0.6679927756
617	0.7142764902	0.6678064865
618	0.7142673463	0.6676905371
619	0.7141984922	0.6675283057
620	0.7144298397	0.6674281268
621	0.714539628	0.6672979928
622	0.71426194	0.6672032737
623	0.7149443192	0.6670528792
624	0.7148540374	0.666931654
625	0.7146572873	0.6668110101
626	0.714699571	0.6666696365
627	0.7145627349	0.666538036
628	0.7147125592	0.6663432095
629	0.7145757659	0.6662543773
630	0.7144339745	0.6661260037
631	0.7145841654	0.6659817805
632	0.7146744255	0.6658533251
633	0.7144765986	0.6657427797
634	0.7146439788	0.6656210725
635	0.7148455731	0.6654671965
636	0.7147087731	0.6653759798
637	0.7146233122	0.6652565743
638	0.7147990865	0.6651207017
639	0.7147990865	0.6649578481
640	0.7150395708	0.6648623398
641	0.7150395708	0.6647312013
642	0.7149754749	0.6646203436
643	0.7149888615	0.6644727723
644	0.7150615492	0.664350323
645	0.714859947	0.6642409774
646	0.715348535	0.6641073601
647	0.7150827933	0.6639954297
648	0.715448646	0.6638836471
649	0.7153705245	0.6638062613
650	0.7150918437	0.6636529238
651	0.7155897216	0.6635102056
652	0.7156333488	0.6633988837
653	0.7157702321	0.6632252852
654	0.7159070979	0.6631101061
655	0.7158288421	0.6629562535
656	0.7161884982	0.6628254434
657	0.7164036639	0.6627370559
658	0.7165757824	0.662659078
659	0.7167991093	0.6625827152
660	0.7164260371	0.6624719072
661	0.7164393135	0.6623447714
662	0.7163532559	0.662210885
663	0.7164393135	0.6620814629
664	0.7162376202	0.6619176107
665	0.7164609816	0.6617888457
666	0.7164362724	0.6616750388
667	0.7167845214	0.6615415733
668	0.7168354306	0.6613891168
669	0.7164050391	0.6612908088
670	0.7163999685	0.6611982448
671	0.7164132594	0.6610835946
672	0.7160278675	0.6609963565
673	0.7161389268	0.6608275671
674	0.7166278622	0.6607052472
675	0.7169147214	0.660578317
676	0.7169147214	0.6604748535
677	0.7169029955	0.6603469743
678	0.7172084197	0.660258651
679	0.7174317143	0.6601500518
680	0.7172084197	0.6600259157
681	0.7175096206	0.6598663782
682	0.7175096206	0.6597430132
683	0.7171049844	0.6596306726
684	0.7168308442	0.65947114
685	0.7172821593	0.6593489007
686	0.717454146	0.6592464935
687	0.717454146	0.6591181814
688	0.7174499667	0.659005959
689	0.7176693919	0.6588716748
690	0.7176774438	0.6587868588
691	0.7178926045	0.6586337595
692	0.7178926045	0.6585472448
693	0.7178107907	0.6584273135
694	0.7176816285	0.6583103858
695	0.7176774438	0.6582303366
696	0.7181155549	0.6580493187
697	0.7179945199	0.6579386955
698	0.7184247987	0.6578185964
699	0.7183387737	0.6577234995
700	0.7184247987	0.6576255792
701	0.7180295375	0.6575327297
702	0.7181155549	0.6574245877
703	0.7179512402	0.6573159124
704	0.7179424985	0.6572348764
705	0.7181232711	0.6570787447
706	0.7182051382	0.6569970345
707	0.7180414226	0.6568823273
708	0.7181274264	0.6567934313
709	0.7184067085	0.6566643862
710	0.7181914666	0.6565253247
711	0.7181914666	0.6564540793
712	0.7181873003	0.6563878808
713	0.7182656433	0.6562843999
714	0.7183248774	0.6561202074
715	0.7183075224	0.655994756
716	0.7183075224	0.6558873565
717	0.7181706319	0.6558234265
718	0.7182566544	0.6557102708
719	0.718238846	0.655612419
720	0.7183888839	0.6554873687
721	0.7185989178	0.6553717397
722	0.7191912118	0.6552463154
723	0.7194063633	0.6551129604
724	0.7194924437	0.6550031218
725	0.7193555832	0.6549114618
726	0.7192652962	0.6548009796
727	0.7194846016	0.6546175427
728	0.719621476	0.6545104803
729	0.7194063633	0.6544174462
730	0.7194337752	0.6542291304
731	0.7195240682	0.6541160742
732	0.7195240682	0.6540301147
733	0.719602167	0.6539544267
734	0.7196530604	0.6538414065
735	0.719387143	0.6536824178
736	0.7195240682	0.6535200964
737	0.7194599649	0.6534236231
738	0.7196750137	0.6533013666
739	0.7198980426	0.6531389781
740	0.7198980426	0.653087906
741	0.7199840774	0.6529590198
742	0.7202851658	0.6528540426
743	0.7202851658	0.652792087
744	0.7202851658	0.6526179381
745	0.7206020782	0.652488908
746	0.7206881185	0.6524197878
747	0.720242063	0.6523129367
748	0.7203791115	0.6521965319
749	0.7205940988	0.6520827315
750	0.7206801309	0.6519814191
751	0.7205940988	0.6518378113
752	0.7205940988	0.6517357547
753	0.7203791115	0.6516044684
754	0.7204651346	0.6515574177
755	0.7205250662	0.6514244555
756	0.7203749651	0.6513459309
757	0.7205980105	0.6512329163
758	0.7206059931	0.6510933476
759	0.7205275589	0.6510125891
760	0.7206135732	0.6508975101
761	0.7203906029	0.6507961106
762	0.7206959985	0.6506347253
763	0.7203437578	0.6505771256
764	0.7206307608	0.6504210054
765	0.721061269	0.6503308749
766	0.7206959985	0.6502483851
767	0.7207778603	0.6501242713
768	0.7210518556	0.649986801
769	0.7210518556	0.6499158193
770	0.7208365411	0.6497569588
771	0.7208365411	0.6496642977
772	0.7208536863	0.6495626708
773	0.7208536863	0.6493810705
774	0.7207386636	0.6492840288
775	0.7210909765	0.6491665127
776	0.7210909765	0.6490556295
777	0.7215292845	0.6489367316
778	0.721318083	0.6488236816
779	0.7212320996	0.6487106892
780	0.7212320996	0.6486025825
781	0.7216193882	0.6484372103
782	0.7220107605	0.6483520554
783	0.722160789	0.648252067
784	0.722160789	0.6481039343
785	0.7220107605	0.6479951188
786	0.7221132509	0.6478630193
787	0.7223533182	0.6477645577
788	0.7223533182	0.6476347832
789	0.7221773122	0.6475017597
790	0.7223533182	0.6474483479
791	0.7223533182	0.6473548951
792	0.7222632688	0.6472616402
793	0.7228439563	0.6471553712
794	0.7228480894	0.6470273402
795	0.7228480894	0.646934283
796	0.7228687366	0.6467828736
797	0.7230840849	0.6467105446
798	0.7230840849	0.6466261961
799	0.7232210659	0.6464589667
800	0.7230957754	0.6463224181
801	0.7231611654	0.6461964416
802	0.7229457823	0.6460619985
803	0.7229457823	0.6460024033
804	0.7232471157	0.6459021645
805	0.7233971246	0.6458173227
806	0.7233971246	0.6457386432
807	0.7231817226	0.6456434872
808	0.7232676604	0.6454895819
809	0.7233971246	0.6453848388
810	0.7234830713	0.6453049673
811	0.7234905675	0.6451830512
812	0.7234905675	0.6451111743
813	0.7236159557	0.6449915444
814	0.7236159557	0.6448712052
815	0.7239293966	0.6447018597
816	0.7239293966	0.6445937157
817	0.7240194535	0.6445086769
818	0.7241564611	0.6444221638
819	0.7240269999	0.6442851787
820	0.723851014	0.6441899605
821	0.7241599105	0.644039597
822	0.7242499238	0.6439242176
823	0.7241599105	0.6438039129
824	0.7239879751	0.6437334193
825	0.7241599105	0.6436693311
826	0.7241639771	0.6435680024
827	0.7239484985	0.6434347468
828	0.7241203644	0.6433202565
829	0.724245864	0.6432238494
